Age_Group,"Plateformes de vidéo en ligne (Youtube,Twitch, …)",Réseaux sociaux,Journal ou Magazine ,Télévision,Moteur de recherche,Portail d’actualité,Média disponible uniquement sur Internet,"Radio, podcast"
15-17 ans,0.09900990099009901,0.3465346534653465,0.0297029702970297,0.26732673267326734,0.0891089108910891,0.10891089108910891,0.0297029702970297,0.0297029702970297
18-24 ans,0.09854014598540146,0.354014598540146,0.040145985401459854,0.1897810218978102,0.14963503649635038,0.05474452554744526,0.040145985401459854,0.072992700729927
25-34 ans,0.07542579075425791,0.20194647201946472,0.06569343065693431,0.2384428223844282,0.18248175182481752,0.09975669099756691,0.0267639902676399,0.10948905109489052
35-44 ans,0.031496062992125984,0.1830708661417323,0.06496062992125984,0.281496062992126,0.16338582677165353,0.0984251968503937,0.04921259842519685,0.1279527559055118
45-59 ans,0.019230769230769232,0.11004273504273504,0.07692307692307693,0.41025641025641024,0.10683760683760683,0.11004273504273504,0.021367521367521368,0.1452991452991453
60-69 ans,0.012433392539964476,0.04262877442273535,0.108348134991119,0.5204262877442274,0.0763765541740675,0.07460035523978685,0.02486678507992895,0.14031971580817051
70 ans et +,0.005940594059405941,0.02178217821782178,0.16435643564356436,0.5643564356435643,0.041584158415841586,0.055445544554455446,0.009900990099009901,0.13663366336633664
