chaine,nom film,date de diffusion,2023,nationalité2,rang de diffusion,téléspectateurs (millions),part d'audience (%)
TFX,ROBIN DES BOIS,2023-11-02 00:00:00,2023,GRANDE BRETAGNE,17,822626,"4,3"
TFX,MAITRE D'ECOLE (LE),2023-12-27 00:00:00,2023,FRANCE,28,822626,"4,1"
TF1 Séries Films,EQUALIZER 2,2023-10-16 00:00:00,2023,ETATS UNIS,4,998903,"4,8"
TF1 Séries Films,ARME FATALE 4 (L'),2023-03-30 00:00:00,2023,ETATS UNIS,18,920000,"4,6"
TF1 Séries Films,ARME FATALE (L'),2023-03-09 00:00:00,2023,ETATS UNIS,22,862500,"4,4"
TF1 Séries Films,ARME FATALE 3 (L'),2023-03-23 00:00:00,2023,ETATS UNIS,21,862500,"4,3"
TF1 Séries Films,ARME FATALE 2 (L'),2023-03-16 00:00:00,2023,ETATS UNIS,23,862500,"4,1"
TF1 Séries Films,ELYSIUM,2023-12-07 00:00:00,2023,ETATS UNIS,7,822626,4
TF1 Séries Films,FUGITIF (LE),2023-06-26 00:00:00,2023,ETATS UNIS,19,816000,"4,5"
TF1 Séries Films,CHACAL (LE),2023-04-06 00:00:00,2023,ETATS UNIS,15,805000,4
TF1 Séries Films,READY PLAYER ONE,2023-01-03 00:00:00,2023,GRANDE BRETAGNE,3,805000,4
TF1 Séries Films,"MOI, MOCHE ET MECHANT",2023-04-27 00:00:00,2023,ETATS UNIS,11,747500,"3,9"
M6,30 JOURS MAX,2023-10-26 00:00:00,2023,FRANCE,1,3819335,18
M6,"ENCANTO, LA FANTASTIQUE FAMILLE MADRIGAL",2023-11-03 00:00:00,2023,ETATS UNIS,1,3408022,"16,1"
M6,KAAMELOTT : PREMIER VOLET,2023-10-19 00:00:00,2023,FRANCE,1,2996709,"15,8"
M6,CRUELLA,2023-08-31 00:00:00,2023,ETATS UNIS,1,2879191,"16,6"
M6,BODIN'S EN THAILANDE (LES),2023-09-22 00:00:00,2023,FRANCE,1,2702914,"13,4"
M6,"VAIANA, LA LEGENDE DU BOUT DU MONDE",2023-02-10 00:00:00,2023,ETATS UNIS,3,2530000,"12,5"
M6,JUNGLE CRUISE,2023-06-09 00:00:00,2023,ETATS UNIS,1,2481000,"14,7"
M6,OSS 117 : ALERTE ROUGE EN AFRIQUE NOIRE,2023-10-12 00:00:00,2023,FRANCE,1,2467878,"13,8"
M6,"MISSION : IMPOSSIBLE, FALLOUT",2023-07-06 00:00:00,2023,ETATS UNIS,1,2418000,15
M6,ALADDIN,2023-02-17 00:00:00,2023,ETATS UNIS,1,2415000,14
W9,SISTER ACT,2023-05-08 00:00:00,2023,ETATS UNIS,21,1351457,"6,1"
W9,CHUTE DE LONDRES (LA),2023-01-30 00:00:00,2023,GRANDE BRETAGNE / ETATS UNIS,5,1322500,"5,8"
W9,JUNGLE CRUISE,2023-12-27 00:00:00,2023,ETATS UNIS,2,1292698,"6,9"
